product_id,product_name,category,price
1,프리미엄 웹캠 그레이 P001,전자기기,68000
2,스마트 미니 가습기 블랙 P002,생활가전,163000
3,컴팩트 후드 티셔츠 그레이 P003,패션,22000
4,프로 세럼 화이트 P004,뷰티,43000
5,스마트 드립백 커피 화이트 P005,식품,58000
6,컴팩트 에세이 베이지 P006,도서,40000
7,에코 스포츠 타월 베이지 P007,스포츠,103000
8,스마트 급수기 화이트 P008,반려동물,121000
9,프로 젤펜 세트 화이트 P009,문구,55000
10,프리미엄 벽시계 블랙 P010,홈인테리어,118000
11,데일리 블루투스 스피커 그레이 P011,전자기기,125000
12,베이직 공기청정기 그린 P012,생활가전,176000
13,베이직 데님 팬츠 블루 P013,패션,88000
14,스마트 선크림 블루 P014,뷰티,49000
15,플러스 허브티 그레이 P015,식품,73000
16,데일리 경제 교양서 그레이 P016,도서,18000
17,플러스 요가 매트 그린 P017,스포츠,107000
18,데일리 급수기 그레이 P018,반려동물,99000
19,라이트 데스크 매트 블루 P019,문구,51000
20,프로 디퓨저 블루 P020,홈인테리어,83000
21,프로 무선 이어폰 블랙 P021,전자기기,80000
22,라이트 선풍기 블루 P022,생활가전,210000
23,프리미엄 바람막이 그레이 P023,패션,91000
24,클래식 선크림 블루 P024,뷰티,50000
25,플러스 드립백 커피 그린 P025,식품,25000
26,플러스 파이썬 입문서 화이트 P026,도서,12000
27,베이직 운동 밴드 그린 P027,스포츠,38000
28,스마트 리드줄 그레이 P028,반려동물,108000
29,베이직 파일 홀더 베이지 P029,문구,17000
30,프리미엄 벽시계 그레이 P030,홈인테리어,38000
31,플러스 웹캠 그레이 P031,전자기기,46000
32,스마트 핸디 청소기 블랙 P032,생활가전,207000
33,라이트 슬랙스 블루 P033,패션,33000
34,클래식 클렌징 폼 화이트 P034,뷰티,87000
35,프로 프로틴바 블랙 P035,식품,64000
36,라이트 에세이 베이지 P036,도서,34000
37,클래식 요가 매트 그린 P037,스포츠,25000
38,에코 고양이 모래 블랙 P038,반려동물,115000
39,에코 메모지 블루 P039,문구,55000
40,프로 테이블 매트 블루 P040,홈인테리어,100000
41,데일리 기계식 키보드 화이트 P041,전자기기,37000
42,플러스 핸디 청소기 베이지 P042,생활가전,171000
43,클래식 바람막이 그린 P043,패션,179000
44,스마트 세럼 그레이 P044,뷰티,13000
45,플러스 드립백 커피 블루 P045,식품,54000
46,클래식 데이터 분석 가이드 베이지 P046,도서,18000
47,플러스 러닝 벨트 그레이 P047,스포츠,16000
48,클래식 고양이 모래 블루 P048,반려동물,61000
49,프리미엄 파일 홀더 그린 P049,문구,17000
50,클래식 수납 바구니 베이지 P050,홈인테리어,59000
51,프로 블루투스 스피커 그린 P051,전자기기,129000
52,컴팩트 공기청정기 베이지 P052,생활가전,364000
53,에코 후드 티셔츠 그레이 P053,패션,32000
54,클래식 립틴트 그레이 P054,뷰티,34000
55,컴팩트 과일칩 그린 P055,식품,23000
56,플러스 AI 활용서 그린 P056,도서,20000
57,클래식 요가 매트 그레이 P057,스포츠,22000
58,프로 펫 방석 화이트 P058,반려동물,9000
59,데일리 메모지 그린 P059,문구,38000
60,컴팩트 수납 바구니 블루 P060,홈인테리어,88000
61,플러스 무선 이어폰 그레이 P061,전자기기,34000
62,플러스 핸디 청소기 화이트 P062,생활가전,273000
63,라이트 바람막이 화이트 P063,패션,106000
64,컴팩트 세럼 블루 P064,뷰티,54000
65,라이트 과일칩 블랙 P065,식품,51000
66,컴팩트 데이터 분석 가이드 베이지 P066,도서,30000
67,라이트 폼롤러 베이지 P067,스포츠,80000
68,라이트 장난감 그린 P068,반려동물,104000
69,클래식 젤펜 세트 그레이 P069,문구,6000
